Nome,Região,Período,Resultado
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BRASILANDIA (DISTRITO),2016,13125
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BRASILANDIA (DISTRITO),2018,12947
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BRASILANDIA (DISTRITO),2021,14939
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BRASILANDIA (DISTRITO),2013,8870
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BRASILANDIA (DISTRITO),2015,12094
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BRASILANDIA (DISTRITO),2020,13779
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BRASILANDIA (DISTRITO),2014,12022
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BRASILANDIA (DISTRITO),2022,19557
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BRASILANDIA (DISTRITO),2024,19066
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BUTANTA (DISTRITO),2014,646
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BUTANTA (DISTRITO),2016,495
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BUTANTA (DISTRITO),2023,1042
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BUTANTA (DISTRITO),2022,968
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BUTANTA (DISTRITO),2024,1002
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BUTANTA (DISTRITO),2013,496
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BUTANTA (DISTRITO),2020,624
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BUTANTA (DISTRITO),2025,919
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BUTANTA (DISTRITO),2021,663
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BUTANTA (DISTRITO),2019,464
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BUTANTA (DISTRITO),2018,487
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BUTANTA (DISTRITO),2015,424
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BUTANTA (DISTRITO),2017,647
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BUTANTA (SUBPREFEITURA),2023,18099
